"Product Code","Product Title","Picture","Description","Category","Sub-Category","Retail Price","VAT Code","Tags","Sizes"
547812,"The Tempest T-shirt","thought tee","“Flout 'em and scout 'em, and scout 'em and flout 'em; thought is free”","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Long-sleeved t-shirt featuring a punk inspired print",,,,,"Tempest","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,"100% cotton. Iron print on reverse",,,,,,
,,,,,,,,,
23574125,"Romeo & Juliet T-shirt","R&J tee","“Two households, both alike in dignity”","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Short-sleeved t-shirt featuring the prologue from Romeo and Juliet",,,,,"Romeo",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Juliet",
,,,"100% cotton. Iron print on reverse",,,,,"Love",
,,,,,,,,"Quote",
,,,,,,,,"Heart",
,,,,,,,,"Valentine",
,,,,,,,,,
326599,"Hamlet T-shirt  ",,"“To be or not to be, that is the question”","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Short-sleeved t-shirt featuring the Prince of Denmark’s most famous speech",,,,,"Hamlet",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Skull",
,,,"100% cotton. Iron print on reverse",,,,,"Quote",
,,,,,,,,,
55421,"A Midsummer Night’s Dream T-shirt ","midsummer tee","Women’s short-sleeved fitted t-shirt celebrating A Midsummer Night’s Dream","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Midsummer",
,,,"100% cotton. Iron print on reverse",,,,,"Dream",
,,,,,,,,"Fairy",
,,,,,,,,"Quote",
,,,,,,,,"Fool",
,,,,,,,,,
225588,"Globe Theatre T-shirt (White) ","Globe tee 1","Short-sleeved t-shirt featuring a bold black print","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Globe",
,,,"100% cotton. Iron print on reverse",,,,,"Theatre",
,,,,,,,,"Shakespeare",
,,,,,,,,,
225588,"Globe Theatre T-shirt (Black) ","globe tee black","Short-sleeved t-shirt featuring a bold black print","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Globe",
,,,"100% cotton. Iron print on reverse",,,,,"Theatre",
,,,,,,,,"Shakespeare",
,,,,,,,,,
542117,"Macbeth ‘Wicked’ T-shirt  ","wicked tee 1","“By the pricking of my thumbs, something wicked this way comes”","Clothing","Tees","£20,00",1,"T-shirt","Y"
,,,"Short-sleeved t-shirt featuring a bold gloss black and orange print",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,"100% cotton. Iron print on reverse",,,,,"Halloween",
,,,,,,,,,
85245,"Macbeth ‘Spot’ T-shirt (Black) ","spot tee1","“Out damned spot! Out I say!”","Clothing","Tees","£25,00",1,"T-shirt","Y"
,,,"Short-sleeved t-shirt featuring a gruesome blood spatter",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Blood",
,,,"100% cotton. Iron print on reverse",,,,,"Quote",
,,,,,,,,"Halloween",
,,,,,,,,,
85245,"Macbeth ‘Spot’ T-shirt (White)","spot tee white","“Out damned spot! Out I say!”","Clothing","Tees","£25,00",1,"T-shirt","Y"
,,,"Short-sleeved t-shirt featuring a gruesome blood spatter",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Blood",
,,,"100% cotton. Iron print on reverse",,,,,"Quote",
,,,,,,,,"Halloween",
,,,,,,,,,
1698754,"Complete Works T-shirt (Olive Green)","comp green 2","Short-sleeved organic cotton t-shirt, printed with the names of all 38 of Shakespeare’s plays.","Clothing","Tees","£25,00",1,"T-shirt","Y"
,,,"Printed using low carbon techniques",,,,,"Shakespeare",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Organic",
,,,"100% cotton. Iron print on reverse",,,,,"Globe",
,,,,,,,,,
1698754,"Complete Works T-shirt (Navy) ","comp tee2","Short-sleeved organic cotton t-shirt, printed with the names of all 38 of Shakespeare’s plays.","Clothing","Tees","£25,00",1,"T-shirt","Y"
,,,"Printed using low carbon techniques",,,,,"Shakespeare",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Organic",
,,,"100% cotton. Iron print on reverse",,,,,"Globe",
,,,,,,,,,
124578,"Hamlet Tote Bag ","ophelia bag","“He is dead and gone, lady. He is dead and gone”","Clothing","Bags","£18,00",1,"Bag","N"
,,,"Tote bag printed with the words of Ophelia’s song. Contrast printed lining and sturdy handles",,,,,"Tote",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Hamlet",
,,,"100% cotton. ",,,,,"Quote",
,,,,,,,,"Skull",
,,,,,,,,"Ophelia",
,,,,,,,,,
55216,"A Midsummer Night’s Dream Bag ","midsummer bag","“What angel wakes me from my flowery bed?”","Clothing","Bags","£12,00",1,"Bag","N"
,,,"Handy bag featuring a quote from A Midsummer Night’s Dream",,,,,"Midsummer",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Dream",
,,,"100% cotton. ",,,,,"Fairy",
,,,,,,,,"Quote",
,,,,,,,,"Angel",
,,,,,,,,,
665544,"All The World’s A Stage Bag ","stage bag","Handy bag featuring a famous quote from As You Like It","Clothing","Bags","£12,00",1,"Bag","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"As You Like It",
,,,"100% cotton. ",,,,,"Pink",
,,,,,,,,"Stage",
,,,,,,,,"Theatre",
,,,,,,,,"Quote",
,,,,,,,,,
33521,"Globe Theatre Bag (White) ","globe bag white","Handy bag with a bold, gloss black print","Clothing","Bags","£12,00",1,"Bag","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Globe",
,,,"100% cotton. ",,,,,"Shakespeare",
,,,,,,,,,
33521,"Globe Theatre Bag (Black) ","globe bag black","Handy bag with a bold, gloss black print","Clothing","Bags","£12,00",1,"Bag","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Globe",
,,,"100% cotton. ",,,,,"Shakespeare",
,,,,,,,,,
25589,"All's Well That Ends Well Bag",,"Handy bag with a geometric print","Clothing","Bags","£12,00",1,"Bag","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,"100% cotton. ",,,,,"All's Well",
,,,,,,,,,
74946478,"Macbeth ‘Wicked’ Bag ","wicked bag 1","By the pricking of my thumbs, something wicked this way comes”","Clothing","Bags","£18,00",1,"Bag","N"
,,,"Gloss black PVC shoulder bag featuring a quote from Macbeth",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,"PVC with a woven handle",,,,,"Halloween",
,,,,,,,,,
887755,"Macbeth ‘Spot’ Tote ","spot bag","“Out damned spot! Out I say!”","Clothing","Bags","£18,00",1,"Bag","N"
,,,"Tote bag featuring a quote from Macbeth. The lining is printed with a gory blood spatter!",,,,,"Tote",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Macbeth",
,,,"100% cotton. ",,,,,"Quote",
,,,,,,,,"Blood",
,,,,,,,,,
112565,"Bard Bag ","bard bag 1","Fantastic strong, yet lightweight bag made from recyclable plastic fibres","Clothing","Bags","£2,00",1,"Bag","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Shakespeare",
,,,"100% polypropylene ",,,,,,
,,,,,,,,,
1654987651,"Complete Works Tote ","complete bag","Heavy-weight tote bag printed with the names of all 38 of Shakespeare’s plays","Clothing","Bags","£20,00",1,"Bag","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Tote",
,,,"100% cotton. ",,,,,"Shakespeare",
,,,,,,,,"Globe",
,,,,,,,,,
55881122,"All The World’s A Stage Hooded Sweatshirt","stage hoodie","Women’s zip-up hooded sweatshirt with a fleecy lining. Printed with a quote from As You Like It","Clothing","Hoodie","£30,00",1,"Sweatshirt","Y"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Hood",
,,,"100% cotton. ",,,,,"As You Like It",
,,,,,,,,"Pink",
,,,,,,,,"Stage",
,,,,,,,,"Theatre",
,,,,,,,,,
58714114,"Monks Hooded Sweatshirt ","hoodie 1","“Hoods make not monks”","Clothing","Hoodie","£30,00",1,"Sweatshirt","Y"
,,,"Cosy zip-up hooded sweatshirt with a fleecy lining. Print in gold with a quote from Henry VIII",,,,,"Hood",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Monk",
,,,"100% cotton. ",,,,,"Henry",
,,,,,,,,,
74419364,"Hamlet ‘Yorick’ Beanie Hat",,"“Alas poor Yorick…”","Clothing","Headgear","£6,00",1,"Hat","N"
,,,"One-size-fits-most beanie hat with an embroidered motif and quote from Hamlet",,,,,"Beanie",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Hamlet",
,,,"100% acrylic ",,,,,"Skull",
,,,,,,,,"Yorick",
,,,,,,,,,
6699955,"Shakespeare’s Globe Beanie Hat","logo beanie ","One-size-fits-most beanie hat with an embroidered logo","Clothing","Headgear","£6,00",1,"Hat","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Beanie",
,,,"100% acrylic ",,,,,"Shakespeare",
,,,,,,,,"Globe",
,,,,,,,,,
2222,"Shakespeare’s Globe Baseball Cap ","Baseball cap 1","Adjustable baseball cap with embroidered logo on the peak and on the back","Clothing","Headgear","£8,00",1,"Hat","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Cap",
,,,,,,,,"Shakespeare",
,,,,,,,,"Globe",
,,,,,,,,,
"0845070","The Tempest Mug","thought mug","“Flout 'em and scout 'em, and scout 'em and flout 'em; thought is free”","Gifts","Mugs","£8,00",1,"Mug","N"
,,,"Coffee mug featuring a quote from The Tempest",,,,,"Tempest",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,"Earthenware",,,,,,
,,,,,,,,,
1589435,"Romeo & Juliet Mug ","R&J mug","“Did my heart love till now?”","Gifts","Mugs","£8,00",1,"Mug","N"
,,,"Coffee mug featuring quotes from Romeo and Juliet",,,,,"Romeo",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Juliet",
,,,"Earthenware",,,,,"Quote",
,,,,,,,,"Love",
,,,,,,,,"Heart",
,,,,,,,,"Valentine",
,,,,,,,,,
95941516,"A Midsummer Night’s Dream Mug ","mid mug","Coffee mug celebrating A Midsummer Night’s Dream ","Gifts","Mugs","£8,00",1,"Mug","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Midsummer",
,,,"Earthenware",,,,,"Dream",
,,,,,,,,"Fairy",
,,,,,,,,"Quote",
,,,,,,,,,
22658,"Macbeth ‘Spot’ Mug","spot mug","“Out damned spot! Out I say!”","Gifts","Mugs","£8,00",1,"Mug","N"
,,,"Gory coffee mug featuring a quote from Macbeth",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,"Earthenware",,,,,"Blood",
,,,,,,,,"Halloween",
,,,,,,,,,
2356,"Hamlet Mug",,"""To be or not to be, that is the question…""","Gifts","Mugs","£8,00",1,"Mug","N"
,,,"Coffee mug featuring the Prince of Demanrk's most famous speech",,,,,"Hamlet",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,"Earthenware",,,,,,
,,,,,,,,,
25568,"The Tempest Pen Book","thought note","“Flout 'em and scout 'em, and scout 'em and flout 'em; thought is free”","Stationery","Notebooks","£8,00",1,"Note","N"
,,,"Hardback notebook with a cleverly cut recess for the matching pen. 80 sheets of plain paper",,,,,"Journal",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Pen",
,,,,,,,,"Quote",
,,,,,,,,"Tempest",
,,,,,,,,,
559984,"Romeo & Juliet Notepad","R&J note","Handy pocket-sized notepad. 80 sheets of plain paper","Stationery","Notebooks","£2,50",1,"Note","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Romeo",
,,,,,,,,"Juliet",
,,,,,,,,"Quote",
,,,,,,,,"Love",
,,,,,,,,,
559984,"Macbeth ‘Wicked’ Notepad","wicked note","Handy pocket-sized notepad. 80 sheets of plain paper","Stationery","Notebooks","£2,50",1,"Note","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Macbeth",
,,,,,,,,"Quote",
,,,,,,,,,
25897542," Hamlet Leather Journal","Ophelia journal","“He is dead and gone, lady. He is dead and gone”","Stationery","Notebooks","£20,00",1,"Journal","N"
,,,"Beautiful chunky journal with a real leather cover. 120 sheets of plain paper",,,,,"Leather",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Hamlet",
,,,,,,,,"Skull",
,,,,,,,,,
22784,"A Midsummer Night’s Dream ‘Angel’ Notepad","mid note 2","“What angel wakes me from my flowery bed?”","Stationery","Notebooks","£2,50",1,"Note","N"
,,,"Mini notebook with a printed cover. 80 sheets of plain paper",,,,,"Midsummer",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Dream",
,,,,,,,,"Mini",
,,,,,,,,"Quote",
,,,,,,,,"Angel",
,,,,,,,,,
22784,"A Midsummer Night’s Dream ‘Fools’ Notepad","mid note 1","“What fools these mortals be…”","Stationery","Notebooks","£2,50",1,"Note","N"
,,,"Mini notebook with a printed cover. 80 sheets of plain paper",,,,,"Midsummer",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Dream",
,,,,,,,,"Mini",
,,,,,,,,"Quote",
,,,,,,,,"Fool",
,,,,,,,,,
8855441,"Macbeth ‘Spot’ Notepad","spot note","“Out damned spot! Out I say!”","Stationery","Notebooks","£3,00",1,"Note","N"
,,,"A5 Notepad with a printed cover. 80 sheets of plain paper ",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Blood",
,,,,,,,,"Quote",
,,,,,,,,,
22564,"Macbeth ‘Spot’ Leather Journal","Spot Journal 2","“Out damned spot! Out I say!”","Stationery","Notebooks","£20,00",1,"Journal","N"
,,,"Beautiful chunky journal with a real leather cover. 120 sheets of plain paper ",,,,,"Leather",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Macbeth",
,,,,,,,,"Blood",
,,,,,,,,"Quote",
,,,,,,,,"Halloween",
,,,,,,,,,
2596,"All's Well That Ends Well Leather Journal","all's well journal","Beautiful chunky journal with a real leather cover.  120 sheets of plain paper","Stationery","Notebooks","£20,00",1,"Journal","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"All's Well",
,,,,,,,,"Leather",
,,,,,,,,,
2765,"Doctor Faustus Leather Journal","faustus journal","Beautiful chunky journal with a real leather cover celebrating Christopher Marlowe's famous play ","Stationery","Notebooks","£20,00",1,"Journal","N"
,,,"120 sheets of plain paper",,,,,"Faustus",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Devil",
,,,,,,,,"Leather",
,,,,,,,,,
111,"Romeo & Juliet Pen","Quote biro","“Did my heart love till now?”","Stationery","Pens&Pencils","£2,50",1,"Pen","N"
,,,"Bright red pen with a quote from Romeo and Juliet",,,,,"Biro",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Romeo",
,,,,,,,,"Juliet",
,,,,,,,,"Heart",
,,,,,,,,"Love",
,,,,,,,,"Quote",
,,,,,,,,,
111,"Macbeth ‘Wicked’ Pen","Quote biro","“By the pricking of my thumbs, something wicked this way comes”","Stationery","Pens&Pencils","£2,50",1,"Pen","N"
,,," Pen with a quote from Macbeth",,,,,"Biro",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Macbeth",
,,,,,,,,"Quote",
,,,,,,,,,
111,"Hamlet Pen","Quote biro","“To be or not to be, that is the question”","Stationery","Pens&Pencils","£2,50",1,"Pen","N"
,,," Pen with a quote from Hamlet",,,,,"Biro",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Hamlet",
,,,,,,,,"Quote",
111,"All The World’s A Stage Pen","Quote biro","Pen with a quote from As You like It","Stationery","Pens&Pencils",,,,
,,,"Created exclusively for Shakespeare’s Globe",,,"£2,50",1,"Pen","N"
,,,,,,,,"Biro",
,,,,,,,,"Quote",
,,,,,,,,"As You Like It",
,,,,,,,,"Theatre",
,,,,,,,,"Stage",
,,,,,,,,,
33130,"Shakespeare’s Globe Pencil","Picture pencil","Fun and colourful pencil featuring characters from the Globe’s history","Gifts","Picturemaps","£1,00",1,"Pencil","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Shakespeare",
,,,,,,,,"Globe",
,,,,,,,,,
10000802,"Stationery Set","stationery set","Colourful pencil case containing a ruler, pencil and pencil sharpener","Stationery","Pens&Pencils","£2,50",1,"Pencil","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Ruler",
,,,,,,,,"Shakespeare",
,,,,,,,,"Globe",
,,,,,,,,,
33131,"Shakespeare’s Globe Pencil Case","pencil case","Colourful PVC pencil case printed with a scene from the Globe Theatre","Gifts","Picturemaps","£4,00",1,"Pencil","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Shakespeare",
,,,,,,,,"Globe",
,,,,,,,,,
12253,"Macbeth Bookmark","silk bookmark","“Eye of newt and toe of frog”","Gifts","Bookmark","£5,00",1,"Bookmark","N"
,,,"Embroidered silk bookmark featuring a quote from Macbeth",,,,,"Silk",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Macbeth",
,,,,,,,,"Quote",
,,,,,,,,"Frog",
,,,,,,,,,
12253,"A Midsummer Night’s Dream Bookmark",,"“Beetles black, approach not near”","Gifts","Bookmark","£5,00",1,"Bookmark","N"
,,,"Embroidered silk bookmark featuring a quote from A Midsummer Night’s Dream",,,,,"Silk",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Midsummer",
,,,,,,,,"Dream",
,,,,,,,,"Quote",
,,,,,,,,,
52366234,"Insult Magnetic Bookmark","mag bookmark","“Better a witty than a foolish wit”","Gifts","Bookmark","£2,00",1,"Bookmark","N"
,,,"Handy magnetic bookmark",,,,,"Magnet",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Insult",
,,,,,,,,"Quote",
,,,,,,,,"Fool",
,,,,,,,,,
52366234,"Love Magnetic Bookmark","mag bookmark","""Love is merely a madness""","Gifts","Bookmark","£2,00",1,"Bookmark","N"
,,,"Handy magnetic bookmark",,,,,"Magnet",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Quote",
,,,,,,,,"Love",
,,,,,,,,,
33129,"Shakespeare's Globe Leather Bookmark",,"Colourful leather bookmark featuring characters from the history of the Globe","Gifts","Bookmark","£2,50",1,"Bookmark","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Leather",
,,,,,,,,"Shakespeare",
,,,,,,,,"Globe",
,,,,,,,,,
225487,"Globe Theatre Eraser","theatre eraser","PVC eraser in the shape of the Globe Theatre","Stationery","Pick-ups","£1,00",1,"Eraser","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Rubber",
,,,,,,,,"Globe",
,,,,,,,,"Theatre",
,,,,,,,,,
91861457,"Macbeth ‘Spot’ Eraser","spot eraser","PVC eraser featuring a quote from Macbeth","Stationery","Pick-ups","£1,00",1,"Eraser","N"
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Rubber",
,,,,,,,,"Macbeth",
,,,,,,,,"Blood",
,,,,,,,,"Quote",
,,,,,,,,,
25565,"Macbeth ‘Wicked’ Badge Set","Wicked badge set","“Never shake thy gory locks at me!”","Gifts","Badge","£3,00",1,"Badge","N"
,,,"Set of six mini badges, all featuring quotes from Macbeth",,,,,"Pin",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Button",
,,,,,,,,"Macbeth",
,,,,,,,,"Quote",
,,,,,,,,,
58749,"Hamlet Badge Set","Hamlet badge set","“To sleep, perchance to dream”","Gifts","Badge","£3,00",1,"Badge","N"
,,,"Set of six mini badges featuring quotes from Hamlet",,,,,"Pin",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Button",
,,,,,,,,"Hamlet",
,,,,,,,,"Skull",
,,,,,,,,"Quote",
,,,,,,,,,
22154,"A Midsummer Night’s Dream Badge Set","midsummer badges","“What fools these mortals be”","Gifts","Badge","£3,00",1,"Badge","N"
,,,"Set of six mini badges, all featuring quotes from A Midsummer Night’s Dream",,,,,"Pin",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Button",
,,,,,,,,"Midsummer",
,,,,,,,,"Dream",
,,,,,,,,"Quote",
,,,,,,,,"Fool",
,,,,,,,,"Angel",
,,,,,,,,,
1326598,"Macbeth ‘Spot’ Tea Towel","spot tea towel","“Out damned spot! Out, I Say!”","Gifts","Other Homewares","£8,00",1,"Tea Towel","N"
,,,"Tea towel featuring a quote from Macbeth",,,,,"Macbeth",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Blood",
,,,"100% cotton",,,,,"Halloween",
,,,,,,,,"Quote",
,,,,,,,,"Kitchen",
,,,,,,,,,
1326600,"Insult Tea Towel","insult tea towel","“Better a witty fool than a foolish wit”","Gifts","Other Homewares","£8,00",1,"Tea Towel","N"
,,,"Brightly coloured tea towel featuring a selection of Shakespearean Insults",,,,,"Quote",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Insult",
,,,"100% cotton",,,,,"Fool",
,,,,,,,,"Kitchen",
,,,,,,,,,
3355,"Love Tea Towel",,"“Love is merely a madness”","Gifts","Other Homewares","£8,00",1,"Tea Towel","N"
,,,"Brightly coloured tea towel featuring a selection of Shakespearean love quotes",,,,,"Quote",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Love",
,,,"100% cotton",,,,,"Valentine",
,,,,,,,,"Kitchen",
,,,,,,,,,
150683,"Wine Quote Coasters","coasters 1","“Have we no wine here?”","Gifts","Other Homewares","£6,00",1,"Coaster","N"
,,,"A set a six polypropylene coasters, each featuring a quote about wine by Shakespeare or one of his contempory Elizabethan playwrights. ",,,,,"Wine",
,,,"Presented in a tin.",,,,,"Quote",
,,,"Created exclusively for Shakespeare’s Globe",,,,,"Kitchen",
,,,"Polypropylene",,,,,,
,,,,,,,,,
